These results were obtained with 100 generations of 200 individuals and 0.1 mutation

Generation 25 Bot 30, score = 15576
Generation 25 Bot 40, score = 9180
Generation 25 Bot 50, score = 5456
Generation 25 Bot 60, score = 18436
Generation 25 Bot 70, score = 13895
Generation 25 Bot 80, score = 6205
Generation 25 Bot 90, score = 5050
Generation 25 Bot 100, score = 11476
Generation 25 Bot 110, score = 3160
Generation 25 Bot 120, score = 21006
Generation 25 Bot 130, score = 9145
Generation 25 Bot 140, score = 20501
Generation 25 Bot 150, score = 8778
Generation 25 Bot 160, score = 2775
Generation 25 Bot 170, score = 6105
Generation 25 Bot 180, score = 8715
Generation 25 Bot 190, score = 15676
Generation 26 Bot 0, score = 6095
Generation 26 Bot 10, score = 20000
Generation 26 Bot 20, score = 19221
Generation 26 Bot 30, score = 5671
Generation 26 Bot 40, score = 30876
Generation 26 Bot 50, score = 8356
Generation 26 Bot 60, score = 63235
Generation 26 Bot 70, score = 8778
Generation 26 Bot 80, score = 19215
Generation 26 Bot 90, score = 9145
Generation 26 Bot 100, score = 5986
Generation 26 Bot 110, score = 26896
Generation 26 Bot 120, score = 10070
Generation 26 Bot 130, score = 4105
Generation 26 Bot 140, score = 17320
Generation 26 Bot 150, score = 9691
Generation 26 Bot 160, score = 10353
Generation 26 Bot 170, score = 3421
Generation 26 Bot 180, score = 40221
Generation 26 Bot 190, score = 23305
Generation 27 Bot 0, score = 8911
Generation 27 Bot 10, score = 10396
Generation 27 Bot 20, score = 7503
Generation 27 Bot 30, score = 8978
Generation 27 Bot 40, score = 18066
Generation 27 Bot 50, score = 8075
Generation 27 Bot 60, score = 14196
Generation 27 Bot 70, score = 17391
Generation 27 Bot 80, score = 20200
Generation 27 Bot 90, score = 13341
Generation 27 Bot 100, score = 23105
Generation 27 Bot 110, score = 6065
Generation 27 Bot 120, score = 8978
Generation 27 Bot 130, score = 8356
Generation 27 Bot 140, score = 19901
Generation 27 Bot 150, score = 11476
Generation 27 Bot 160, score = 4278
Generation 27 Bot 170, score = 21215
Generation 27 Bot 180, score = 10585
Generation 27 Bot 190, score = 2875
Generation 28 Bot 0, score = 10878
Generation 28 Bot 10, score = 8556
Generation 28 Bot 20, score = 17978
Generation 28 Bot 30, score = 9591
Generation 28 Bot 40, score = 7750
Generation 28 Bot 50, score = 17866
Generation 28 Bot 60, score = 7975
Generation 28 Bot 70, score = 8911
Generation 28 Bot 80, score = 7875
Generation 28 Bot 90, score = 5456
Generation 28 Bot 100, score = 12490
Generation 28 Bot 110, score = 12720
Generation 28 Bot 120, score = 27595
Generation 28 Bot 130, score = 13861
Generation 28 Bot 140, score = 13366
Generation 28 Bot 150, score = 9553
Generation 28 Bot 160, score = 1176
Generation 28 Bot 170, score = 3841
Generation 28 Bot 180, score = 7240
Generation 28 Bot 190, score = 6870
Generation 29 Bot 0, score = 14228
Generation 29 Bot 10, score = 23653
Generation 29 Bot 20, score = 25525
Generation 29 Bot 30, score = 36346
Generation 29 Bot 40, score = 14635
Generation 29 Bot 50, score = 29120
Generation 29 Bot 60, score = 19510
Generation 29 Bot 70, score = 29220
Generation 29 Bot 80, score = 9111
Generation 29 Bot 90, score = 12703
Generation 29 Bot 100, score = 24610
Generation 29 Bot 110, score = 6195
Generation 29 Bot 120, score = 10396
Generation 29 Bot 130, score = 8911
Generation 29 Bot 140, score = 85791
Generation 29 Bot 150, score = 25625
Generation 29 Bot 160, score = 6195
Generation 29 Bot 170, score = 17020
Generation 29 Bot 180, score = 28030
Generation 29 Bot 190, score = 21528
Generation 30 Bot 0, score = 6316
Generation 30 Bot 10, score = 19310
Generation 30 Bot 20, score = 6786
Generation 30 Bot 30, score = 29561
Generation 30 Bot 40, score = 15600
Generation 30 Bot 50, score = 7603
Generation 30 Bot 60, score = 15578
Generation 30 Bot 70, score = 3103
Generation 30 Bot 80, score = 14028
Generation 30 Bot 90, score = 22345
Generation 30 Bot 100, score = 13995
Generation 30 Bot 110, score = 12346
Generation 30 Bot 120, score = 32531
Generation 30 Bot 130, score = 21010
Generation 30 Bot 140, score = 6655
Generation 30 Bot 150, score = 9691
Generation 30 Bot 160, score = 10111
Generation 30 Bot 170, score = 34530
Generation 30 Bot 180, score = 34853
Generation 30 Bot 190, score = 13961
Generation 31 Bot 0, score = 6555
Generation 31 Bot 10, score = 8485
Generation 31 Bot 20, score = 17866
Generation 31 Bot 30, score = 14396
Generation 31 Bot 40, score = 10111
Generation 31 Bot 50, score = 11981
Generation 31 Bot 60, score = 47686
Generation 31 Bot 70, score = 10685
Generation 31 Bot 80, score = 3340
Generation 31 Bot 90, score = 12135
Generation 31 Bot 100, score = 6903
Generation 31 Bot 110, score = 5878
Generation 31 Bot 120, score = 13566
Generation 31 Bot 130, score = 15853
Generation 31 Bot 140, score = 12028
Generation 31 Bot 150, score = 10753
Generation 31 Bot 160, score = 6528
Generation 31 Bot 170, score = 18145
Generation 31 Bot 180, score = 7703
Generation 31 Bot 190, score = 13503
Generation 32 Bot 0, score = 16331
Generation 32 Bot 10, score = 19210
Generation 32 Bot 20, score = 22136
Generation 32 Bot 30, score = 26051
Generation 32 Bot 40, score = 11175
Generation 32 Bot 50, score = 14906
Generation 32 Bot 60, score = 10685
Generation 32 Bot 70, score = 17778
Generation 32 Bot 80, score = 7360
Generation 32 Bot 90, score = 18066
Generation 32 Bot 100, score = 5778
Generation 32 Bot 110, score = 4478
Generation 32 Bot 120, score = 11476
Generation 32 Bot 130, score = 5771
Generation 32 Bot 140, score = 5456
Generation 32 Bot 150, score = 18528
Generation 32 Bot 160, score = 19210
Generation 32 Bot 170, score = 13320
Generation 32 Bot 180, score = 27695
Generation 32 Bot 190, score = 9691
Generation 33 Bot 0, score = 4560
Generation 33 Bot 10, score = 9280
Generation 33 Bot 20, score = 630
Generation 33 Bot 30, score = 9145
Generation 33 Bot 40, score = 25525
Generation 33 Bot 50, score = 3486
Generation 33 Bot 60, score = 6416
Generation 33 Bot 70, score = 6670
Generation 33 Bot 80, score = 21215
Generation 33 Bot 90, score = 8878
Generation 33 Bot 100, score = 6441
Generation 33 Bot 110, score = 16290
Generation 33 Bot 120, score = 14128
Generation 33 Bot 130, score = 8485
Generation 33 Bot 140, score = 5778
Generation 33 Bot 150, score = 41455
Generation 33 Bot 160, score = 24410
Generation 33 Bot 170, score = 4660
Generation 33 Bot 180, score = 18928
Generation 33 Bot 190, score = 14935
Generation 34 Bot 0, score = 1228
Generation 34 Bot 10, score = 11525
Generation 34 Bot 20, score = 32078
Generation 34 Bot 30, score = 15151
Generation 34 Bot 40, score = 2585
Generation 34 Bot 50, score = 8328
Generation 34 Bot 60, score = 7140
Generation 34 Bot 70, score = 20910
Generation 34 Bot 80, score = 18255
Generation 34 Bot 90, score = 9830
Generation 34 Bot 100, score = 53501
Generation 34 Bot 110, score = 4278
Generation 34 Bot 120, score = 19410
Generation 34 Bot 130, score = 741
Generation 34 Bot 140, score = 7003
Generation 34 Bot 150, score = 9416
Generation 34 Bot 160, score = 9791
Generation 34 Bot 170, score = 15425
Generation 34 Bot 180, score = 5771
Generation 34 Bot 190, score = 16053
Generation 35 Bot 0, score = 10453
Generation 35 Bot 10, score = 14261
Generation 35 Bot 20, score = 27695
Generation 35 Bot 30, score = 6670
Generation 35 Bot 40, score = 23220
Generation 35 Bot 50, score = 9653
Generation 35 Bot 60, score = 9145
Generation 35 Bot 70, score = 13895
Generation 35 Bot 80, score = 9280
Generation 35 Bot 90, score = 45150
Generation 35 Bot 100, score = 33770
Generation 35 Bot 110, score = 9045
Generation 35 Bot 120, score = 18055
Generation 35 Bot 130, score = 10978
Generation 35 Bot 140, score = 16490
Generation 35 Bot 150, score = 7003
Generation 35 Bot 160, score = 6786
Generation 35 Bot 170, score = 16310
Generation 35 Bot 180, score = 9653
Generation 35 Bot 190, score = 4471
Generation 36 Bot 0, score = 4950
Generation 36 Bot 10, score = 16031
Generation 36 Bot 20, score = 29761
Generation 36 Bot 30, score = 9416
Generation 36 Bot 40, score = 9516
Generation 36 Bot 50, score = 25651
Generation 36 Bot 60, score = 24390
Generation 36 Bot 70, score = 8515
Generation 36 Bot 80, score = 53501
Generation 36 Bot 90, score = 11576
Generation 36 Bot 100, score = 18536
Generation 36 Bot 110, score = 19021
Generation 36 Bot 120, score = 6316
Generation 36 Bot 130, score = 36078
Generation 36 Bot 140, score = 12090
Generation 36 Bot 150, score = 12661
Generation 36 Bot 160, score = 3916
Generation 36 Bot 170, score = 7003
